crop,variety,supplier,order_date,stock_quantity,season,water,sow,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,harvest_info,packet_type,notes,url
Lettuce (Mixed),Allstar Gourmet Mix,JS,,,cool,medium-high,Sep–Mar,direct_sow,,35,scattered,,20,0.0015,0.0025,,mixed,,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html
Spinach,Corvair,SDSC,,,cool,medium,Oct–Feb,transplant,28,45,4,3,,0.25,1,,single,organic,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/
Swiss Chard,Bright Lights,JS,,,cool,medium,Sep–Mar,transplant,28,60,2,1,,8,12,,single,,https://www.johnnyseeds.com/vegetables/swiss-chard/bright-lights-swiss-chard-seed-703D.html
Greens Mixes,Ovation Greens Mix,JS,,,cool,medium,Sep–Mar,direct_sow,,35,scattered,,25,0.0015,0.0015,,mixed,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html
Mustard Greens,Broadleaf Mustard Green,SDSC,,,cool,medium,Sep–Mar,direct_sow,,40,scattered,,5,,,,single,,https://sandiegoseedcompany.com/product/vegetables/greens/broadleaf-mustard-green-seeds/
Chicory,Gourmet Blend,SDSC,,,cool,medium,Sep–Feb,direct_sow,,55,scattered,,5,,,,mixed,,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/
Celery,Golden Pascal,SDSC,,,cool,high,Aug–Oct,transplant,80,120,3,1,,0.5,0.5,,single,organic,https://sandiegoseedcompany.com/product/vegetables/celery/organic-golden-pascal-celery-seeds/
Celery,Tango,JS,,,cool,high,Aug–Oct,transplant,80,120,3,1,,0.5,0.5,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/celery-and-celeriac/celery/tango-organic-celery-seed-647G.html
Onions ,Red Rock Bulbing,SDSC,,,cool,medium,Sep–Jan,direct_sow,,120,3,2,,0.25,0.35,,single,bulbing types vary by daylength,https://sandiegoseedcompany.com/product/vegetables/onions/red-rock-bulbing-onion-seeds/
Onions,Maragogi F1,JS,,,cool,medium,Sep–Jan,direct_sow,,120,3,2,,0.25,0.35,,single,bulbing types vary by daylength,https://www.johnnyseeds.com/vegetables/onions/full-size-onions/maragogi-f1-onion-seed-5230.html
