crop,variety,plant_type,season,sow_window,seeding_method,start,plant_out,days_to_transplant,days_to_maturity,packet_type,water_needs,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,supplier,url,notes,yield_low,yield_high
Peppers (Sweet),Huntington F1 Bell,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/peppers/sweet-bell-peppers/huntington-f1-bell-pepper-seed-5262.html,,1.0,5.0
Peppers (Hot),Jalapeno,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jalapeno-pepper-seeds/,,1.0,5.0
Peppers (Hot),Poblano,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,organic,,SDSC,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-poblano-pepper-seeds/,,1.0,5.0
Peppers (Hot),Flaming Flare F1 Fresno,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/flaming-flare-f1-fresno-pepper-seed-3270.html,,1.0,5.0
Peppers (Hot),Sargento F1 Poblano,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/sargento-f1-poblano-pepper-seed-4752.html,,1.0,5.0
Eggplant,Turkish Delight F1,vegetable,warm-season,,transplant,Jan–Mar,Apr–Jun,,,single,medium-high,,,"organic, Asian - *shopper requested*",,JS,https://www.johnnyseeds.com/vegetables/eggplant/asian-eggplants/turkish-delight-organic-f1-eggplant-seed-4755G.html,,,
Cucumbers,Marketmore 76,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/cucumbers/organic-marketmore-76-cucumber-seeds/,,3.0,5.0
Cucumbers,Carosello Leccese,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/cucumbers/carosello-leccese-cucumber-seeds/,,3.0,5.0
Cucumbers,The General F1,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,high,,,,,JS,https://www.johnnyseeds.com/vegetables/cucumbers/slicing-cucumbers/the-general-f1-cucumber-seed-2417.html,,3.0,5.0
Summer Squash / Zucchini,Golden Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-golden-zucchini-summer-squash-seeds/,,5.0,20.0
Summer Squash / Zucchini,Prolific Yellow Straightneck,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-prolific-yellow-straightneck-summer-squash-seeds/,,5.0,20.0
Summer Squash / Zucchini,Dark Star Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/organic-dark-star-zucchini-seeds/,,5.0,20.0
Summer Squash / Zucchini,Yellow Crookneck,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,organic,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/yellow-crookneck-organic-yellow-summer-squash-seed-2450.html,,5.0,20.0
Summer Squash / Zucchini,Spineless Perfection F1 Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/spineless-perfection-f1-zucchini-squash-seed-3854.html,,5.0,20.0
Summer Squash / Zucchini,Golden Glory F1 Zucchini,vegetable,warm-season,Mar–Aug,direct_sow,,,,,single,medium-high,,,,,JS,https://www.johnnyseeds.com/vegetables/squash/summer-squash/golden-glory-f1-zucchini-squash-seed-3837.html,,5.0,20.0
Winter Squash,Waltham Butternut,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/squash/waltham-butternut-squash-seeds/,,10.0,20.0
Winter Squash,Mambo F1 Kabocha,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,organic,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/mambo-organic-f1-kabocha-squash-seed-4304G.html,,10.0,20.0
Winter Squash,Honey Bear F1 Acorn,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/honey-bear-f1-acorn-squash-seed-689.html,,10.0,20.0
Winter Squash,Block Party F1 Butternut,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,organic,JS,https://www.johnnyseeds.com/vegetables/squash/winter-squash/block-party-organic-f1-butternut-squash-seed-4307G.html,,10.0,20.0
Melons,Early Girl Watermelon,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/early-girl-watermelon-seeds/,,,
Melons,Sugar Baby Watermelon,vegetable,warm-season,Apr–Jun,direct_sow,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/organic-sugar-baby-watermelon-seeds/,,,
